lib-type,mois,annee,NombreAgent
Concours Externe,1,2018,145
Contrat,1,2018,16
Détachement Entrant,1,2018,35
Concours Externe,1,2019,144
Contrat,1,2019,90
Détachement Entrant,1,2019,51
Intégration,1,2019,13
Concours Externe,1,2020,338
Contrat,1,2020,88
Détachement Entrant,1,2020,50
Intégration,1,2020,16
Concours Externe,1,2021,345
Contrat,1,2021,78
Détachement Entrant,1,2021,53
Intégration,1,2021,12
Concours Externe,10,2017,121
Contrat,10,2017,27
Détachement Entrant,10,2017,13
Concours Externe,10,2018,144
Contrat,10,2018,89
Détachement Entrant,10,2018,37
Concours Externe,10,2019,333
Contrat,10,2019,88
Détachement Entrant,10,2019,56
Intégration,10,2019,15
Concours Externe,10,2020,346
Contrat,10,2020,80
Détachement Entrant,10,2020,56
Intégration,10,2020,23
Concours Externe,10,2021,345
Contrat,10,2021,77
Détachement Entrant,10,2021,55
Intégration,10,2021,11
Promotion automatique,10,2021,1
Concours Externe,11,2017,145
Contrat,11,2017,16
Détachement Entrant,11,2017,25
Concours Externe,11,2018,144
Contrat,11,2018,89
Détachement Entrant,11,2018,50
Concours Externe,11,2019,333
Contrat,11,2019,87
Détachement Entrant,11,2019,56
Intégration,11,2019,16
Concours Externe,11,2020,346
Contrat,11,2020,79
Détachement Entrant,11,2020,56
Intégration,11,2020,24
Concours Externe,11,2021,345
Contrat,11,2021,77
Détachement Entrant,11,2021,55
Intégration,11,2021,11
Promotion automatique,11,2021,1
Concours Externe,12,2017,145
Contrat,12,2017,16
Détachement Entrant,12,2017,33
Concours Externe,12,2018,144
Contrat,12,2018,90
Détachement Entrant,12,2018,55
Intégration,12,2018,1
Concours Externe,12,2019,339
Contrat,12,2019,88
Détachement Entrant,12,2019,56
Intégration,12,2019,16
Concours Externe,12,2020,346
Contrat,12,2020,78
Détachement Entrant,12,2020,57
Intégration,12,2020,12
Concours Externe,12,2021,345
Contrat,12,2021,77
Détachement Entrant,12,2021,55
Intégration,12,2021,11
Promotion automatique,12,2021,1
Concours Externe,2,2017,1
Concours Externe,2,2018,144
Contrat,2,2018,16
Détachement Entrant,2,2018,36
Concours Externe,2,2019,144
Contrat,2,2019,90
Détachement Entrant,2,2019,51
Intégration,2,2019,13
Concours Externe,2,2020,338
Contrat,2,2020,88
Détachement Entrant,2,2020,52
Intégration,2,2020,16
Concours Externe,2,2021,345
Contrat,2,2021,78
Détachement Entrant,2,2021,53
Intégration,2,2021,12
Concours Externe,3,2017,1
Contrat,3,2017,12
Concours Externe,3,2018,144
Contrat,3,2018,16
Détachement Entrant,3,2018,36
Concours Externe,3,2019,144
Contrat,3,2019,90
Détachement Entrant,3,2019,52
Intégration,3,2019,13
Concours Externe,3,2020,338
Contrat,3,2020,81
Détachement Entrant,3,2020,53
Intégration,3,2020,23
Concours Externe,3,2021,345
Contrat,3,2021,78
Détachement Entrant,3,2021,53
Intégration,3,2021,12
Concours Externe,4,2017,1
Contrat,4,2017,13
Concours Externe,4,2018,144
Contrat,4,2018,23
Détachement Entrant,4,2018,37
Concours Externe,4,2019,144
Contrat,4,2019,90
Détachement Entrant,4,2019,52
Intégration,4,2019,13
Concours Externe,4,2020,346
Contrat,4,2020,81
Détachement Entrant,4,2020,56
Intégration,4,2020,23
Concours Externe,4,2021,345
Contrat,4,2021,77
Détachement Entrant,4,2021,53
Intégration,4,2021,12
Concours Externe,5,2017,1
Contrat,5,2017,13
Concours Externe,5,2018,144
Contrat,5,2018,34
Détachement Entrant,5,2018,37
Concours Externe,5,2019,144
Contrat,5,2019,90
Détachement Entrant,5,2019,52
Intégration,5,2019,13
Concours Externe,5,2020,346
Contrat,5,2020,81
Détachement Entrant,5,2020,56
Intégration,5,2020,23
Concours Externe,5,2021,345
Contrat,5,2021,77
Détachement Entrant,5,2021,53
Intégration,5,2021,12
Concours Externe,6,2017,79
Contrat,6,2017,13
Concours Externe,6,2018,144
Contrat,6,2018,89
Détachement Entrant,6,2018,37
Concours Externe,6,2019,144
Contrat,6,2019,90
Détachement Entrant,6,2019,52
Intégration,6,2019,13
Concours Externe,6,2020,346
Contrat,6,2020,81
Détachement Entrant,6,2020,56
Intégration,6,2020,23
Concours Externe,6,2021,345
Contrat,6,2021,77
Détachement Entrant,6,2021,53
Intégration,6,2021,12
Concours Externe,7,2017,79
Contrat,7,2017,13
Concours Externe,7,2018,144
Contrat,7,2018,89
Détachement Entrant,7,2018,37
Concours Externe,7,2019,144
Contrat,7,2019,89
Détachement Entrant,7,2019,52
Intégration,7,2019,14
Concours Externe,7,2020,346
Contrat,7,2020,81
Détachement Entrant,7,2020,56
Intégration,7,2020,23
Concours Externe,7,2021,345
Contrat,7,2021,77
Détachement Entrant,7,2021,54
Intégration,7,2021,12
Concours Externe,8,2017,95
Contrat,8,2017,13
Concours Externe,8,2018,144
Contrat,8,2018,89
Détachement Entrant,8,2018,37
Concours Externe,8,2019,144
Contrat,8,2019,89
Détachement Entrant,8,2019,56
Intégration,8,2019,14
Concours Externe,8,2020,346
Contrat,8,2020,81
Détachement Entrant,8,2020,55
Intégration,8,2020,23
Concours Externe,8,2021,345
Contrat,8,2021,77
Détachement Entrant,8,2021,54
Intégration,8,2021,12
Concours Externe,9,2017,119
Contrat,9,2017,13
Concours Externe,9,2018,144
Contrat,9,2018,89
Détachement Entrant,9,2018,37
Concours Externe,9,2019,238
Contrat,9,2019,88
Détachement Entrant,9,2019,56
Intégration,9,2019,15
Concours Externe,9,2020,346
Contrat,9,2020,81
Détachement Entrant,9,2020,55
Intégration,9,2020,23
Concours Externe,9,2021,345
Contrat,9,2021,77
Détachement Entrant,9,2021,54
Intégration,9,2021,12